wavelength,"(17, 62)","(21, 59)","(26, 56)","(29, 53)","(31, 49)","(34, 45)","(38, 42)","(41, 38)","(44, 35)","(47, 31)","(49, 26)","(53, 23)","(58, 18)","(62, 12)","(66, 8)","(22, 67)","(26, 64)","(31, 60)","(35, 57)","(36, 53)","(40, 50)","(43, 47)","(46, 43)","(49, 40)","(54, 36)","(57, 31)","(61, 28)","(65, 23)","(68, 17)","(73, 13)","(30, 73)","(33, 69)","(37, 65)","(40, 62)","(43, 59)","(46, 55)","(49, 50)","(52, 47)","(57, 45)","(59, 40)","(63, 36)","(66, 32)","(70, 28)","(73, 22)","(78, 18)","(34, 77)","(39, 74)","(42, 69)","(45, 66)","(49, 63)","(52, 59)","(55, 56)","(58, 53)","(61, 48)","(66, 45)","(68, 40)","(71, 35)","(75, 32)","(79, 26)","(84, 22)","(39, 81)","(43, 77)","(46, 73)","(49, 70)","(53, 67)","(56, 62)","(60, 59)","(63, 56)","(66, 52)","(71, 48)","(73, 44)","(77, 40)","(81, 34)","(84, 29)","(87, 24)","(68, 79)","(68, 79)","(68, 79)","(68, 79)","(68, 79)","(68, 79)"
397.844,0.152791,0.0997653,0.0841055,0.113515,0.121545,0.0763094,0.300214,0.0421689,0.136626,0.0869441,0.0610847,0.0976373,0.0918006,0.121023,0.0673357,0.0751675,0,0.0642496,0.130318,0,0.0330977,0.0792559,0.066007,0.113938,0.0226358,0.0972179,0.132923,0.0912098,0.148729,0.0509304,0.134978,0.0463843,0.0501564,0.0864119,0.107579,0.0677736,0.0831033,0.122708,0.0857161,0.0365551,0.13625,0.0288328,0.0794465,0.134362,0.114981,0.0728192,0.0576732,0.113179,0.110063,0.147749,0.159741,0.0779141,0.110072,0.0972334,0.104277,0.00638695,0.107111,0.10063,0.057793,0.0185742,0.108015,0.0858953,0.0594082,0.049862,0.0956109,0.116307,0.0926601,0.173456,0.193316,0.213788,0.161111,0.097821,0.149503,0.191732,0.158034,0,0,0,0,0,0
400.078,0.0817469,0.0580883,0.0245605,0.0957008,0.057157,0.086131,0.121188,0.096609,0.0791346,0.110788,0.0558341,0.0477666,0.100702,0.0944445,0.0668803,0.0677614,0.045602,0.0894741,0.0645482,0.0322549,0.0609372,0.116795,0.023988,0.095657,0.0185789,0.0505659,0.111823,0.115194,0.140603,0.0297262,0.0994617,0.0121289,0.00413327,0.0538028,0.120327,0.00773593,0.0749993,0.059677,0.0612206,0.0237168,0.13249,0.0083107,0.125645,0.123404,0.0308369,0.0898652,0.040277,0.0780312,0.105684,0.0986777,0.125494,0.0658147,0.0829883,0.0706473,0.0828124,0.0601438,0.0932329,0.0922355,0.0483823,0.0422016,0.111449,0.0318278,0.0807043,0.0599995,0.112727,0.0906447,0.120448,0.198335,0.198941,0.14844,0.18414,0.1971,0.172798,0.153977,0.161995,0,0,0,0,0,0
402.313,0.102652,0.0377911,0.0800126,0.0703825,0.102498,0.0750728,0.0872963,0.118695,0.0849994,0.0787032,0.090066,0.0856746,0.0871309,0.0881411,0.0696769,0.0684969,0.0032576,0.0956168,0.0783525,0.0143113,0.107265,0.146397,0.0417885,0.0992098,0.027996,0.0681169,0.0920574,0.104102,0.0825966,0.0435493,0.0932793,0.0568737,0.0445504,0.0561383,0.114811,0.0220062,0.0983875,0.0842523,0.0904585,0.0228265,0.0902862,0.0576721,0.104849,0.159642,0.0542678,0.0837136,0.0348108,0.0902093,0.0999051,0.0924727,0.10621,0.0281978,0.0739474,0.0699131,0.098376,0.0645292,0.044487,0.095132,0.0715563,0.0506174,0.106367,0.0511532,0.0561383,0.0983875,0.128477,0.113314,0.0937049,0.19105,0.140371,0.166616,0.182346,0.163354,0.131597,0.156745,0.116852,0,0,0,0,0,0
404.547,0.0989426,0.0357193,0.0391104,0.104421,0.085919,0.0570017,0.112682,0.0694222,0.0947909,0.114747,0.0694629,0.0604852,0.0832324,0.101741,0.0546186,0.0726938,0.0294148,0.0902798,0.0836698,0.0130261,0.0596913,0.108665,0.0471712,0.102095,0.0217191,0.0740475,0.104352,0.099538,0.0955736,0.0313721,0.0988381,0.0346939,0.0244804,0.0803089,0.118816,0.0429419,0.111027,0.11628,0.0828087,0.0422684,0.140921,0.0135612,0.102297,0.127855,0.0518208,0.0931692,0.036107,0.0675706,0.100568,0.0838351,0.133887,0.0511417,0.0976768,0.0416293,0.0756655,0.0454014,0.0920525,0.0881281,0.0677358,0.0435038,0.106215,0.0523261,0.059584,0.0656067,0.124609,0.1077,0.108635,0.270131,0.176679,0.19249,0.166052,0.196253,0.145851,0.122464,0.128317,0,0,0,0,0,0
406.782,0.098181,0.0421954,0.0273692,0.0964508,0.0783719,0.0437903,0.107736,0.0679133,0.0757253,0.117252,0.0982618,0.0913353,0.0802017,0.0932049,0.0765991,0.0700989,0.0387051,0.0747324,0.0890233,0.0426469,0.0862673,0.058896,0.0292715,0.122141,0.0444152,0.117304,0.0862898,0.0932025,0.0845851,0.0467529,0.0761317,0.0613229,0.0462256,0.0652124,0.0889372,0.0368517,0.101348,0.0715177,0.0939534,0.0153399,0.0929758,0.0268644,0.10213,0.11948,0.0454887,0.0976328,0.0215313,0.0771422,0.109878,0.0964145,0.108007,0.028074,0.0774731,0.0870309,0.0931675,0.0463361,0.0840328,0.0990589,0.0666357,0.0162539,0.0886888,0.0507545,0.0495614,0.0644941,0.11823,0.0894703,0.0986131,0.160069,0.194896,0.154282,0.195493,0.191536,0.161612,0.153507,0.168959,0,0,0,0,0,0
409.016,0.0739884,0.0254461,0.0322728,0.071068,0.0855752,0.0629108,0.0959027,0.0833194,0.0820471,0.0964054,0.0676756,0.0780918,0.105975,0.0883745,0.0519372,0.0869631,0.0258748,0.0908163,0.100255,0.0403965,0.0813582,0.0784516,0.0447125,0.095914,0.0389413,0.0973015,0.131099,0.100985,0.114088,0.0233648,0.10327,0.0774811,0.0119542,0.0836235,0.105111,0.0336941,0.101018,0.0615648,0.0742057,0.0307102,0.102064,0.0444465,0.099184,0.104561,0.0374083,0.0932661,0.0527654,0.091512,0.0974006,0.0899998,0.126986,0.0250898,0.0753805,0.0631523,0.0806214,0.0765431,0.103188,0.0877264,0.0595318,0.0336882,0.0952919,0.0456771,0.058342,0.0474168,0.115908,0.0882883,0.119768,0.148624,0.164226,0.164223,0.185728,0.159616,0.147155,0.139655,0.136507,0,0,0,0,0,0
411.25,0.0822882,0.0259944,0.0410399,0.096421,0.0419306,0.0431653,0.0901752,0.0803804,0.0605661,0.107456,0.0637031,0.093009,0.0958402,0.0736231,0.0408838,0.0642154,0.0362745,0.0767931,0.081801,0.0605178,0.0723729,0.0952608,0.0445109,0.115006,0.0261826,0.0717671,0.0972316,0.121419,0.0870773,0.0224422,0.0735358,0.0606288,0.029,0.0672467,0.0886931,0.0357707,0.111646,0.0974349,0.104868,0.0368121,0.121335,0.0619858,0.0965878,0.134663,0.044065,0.078208,0.0389578,0.080418,0.0939784,0.086055,0.103687,0.0378618,0.0741424,0.0696222,0.0840609,0.0417196,0.0814227,0.0885239,0.0566134,0.024363,0.0933983,0.0625054,0.0354913,0.0725699,0.120445,0.0866993,0.138717,0.177701,0.143183,0.162476,0.157028,0.172421,0.128966,0.146764,0.134516,0,0,0,0,0,0
413.485,0.0881167,0.0435743,0.0414318,0.082,0.0604106,0.0382097,0.0985332,0.0625451,0.0684445,0.108889,0.0661355,0.0679649,0.0954629,0.0645285,0.053197,0.0719524,0.0305709,0.093021,0.0718875,0.0492614,0.0923669,0.0780751,0.0330979,0.0990558,0.0358441,0.0689691,0.0890236,0.0863015,0.0855907,0.020909,0.0763255,0.0552306,0.0375636,0.0613771,0.104027,0.0422945,0.078737,0.067346,0.0758412,0.043155,0.0993904,0.0389847,0.109847,0.116036,0.0536576,0.0963018,0.0264907,0.0821426,0.0712384,0.0918195,0.115578,0.0455702,0.105847,0.0675754,0.0876096,0.0384727,0.104396,0.0883149,0.0572068,0.0111624,0.0946961,0.0419042,0.0508553,0.0514819,0.121321,0.114046,0.0918934,0.176433,0.156068,0.154187,0.193124,0.205763,0.136355,0.128753,0.110145,0,0,0,0,0,0
415.719,0.0799084,0.0352027,0.0471581,0.0778341,0.0723866,0.03291,0.0956804,0.071961,0.060213,0.0826178,0.0597617,0.059641,0.089318,0.0789777,0.0607769,0.0688333,0.0269995,0.0729333,0.0638882,0.0492826,0.082422,0.0574847,0.0385838,0.107837,0.0261769,0.0631963,0.105026,0.103986,0.0870924,0.0247992,0.0736307,0.0534332,0.0461289,0.0567016,0.0880835,0.0387013,0.0903,0.0843685,0.0745439,0.0321408,0.122562,0.0336195,0.0903218,0.0929292,0.0402373,0.0889674,0.0449897,0.071642,0.0786288,0.0753018,0.0913682,0.0218062,0.0759978,0.0714696,0.0639605,0.0488031,0.0909621,0.0886771,0.0373353,0.0333433,0.0746802,0.0659608,0.0456379,0.04515,0.116774,0.0919331,0.101956,0.170478,0.126312,0.158703,0.154993,0.144106,0.153051,0.147046,0.133442,0,0,0,0,0,0
417.954,0.088059,0.0367125,0.0358266,0.0981471,0.0622058,0.0288504,0.0839541,0.0621155,0.0669437,0.0892583,0.0731126,0.0688038,0.0824727,0.0661883,0.0605589,0.0857321,0.0450193,0.0657648,0.0690712,0.0272497,0.0747394,0.065763,0.0452019,0.0987449,0.0276757,0.0889534,0.0909005,0.0946934,0.0801101,0.0301916,0.0794318,0.0379895,0.0366694,0.0575017,0.0904253,0.0315483,0.0891361,0.0769101,0.0654258,0.0513152,0.113264,0.0442542,0.0975685,0.0958499,0.0564084,0.0826093,0.0356317,0.0729631,0.0811428,0.0744705,0.114693,0.0266435,0.0750476,0.065626,0.0765326,0.042167,0.0949114,0.0807472,0.0517744,0.0273622,0.0805023,0.056737,0.048557,0.0590056,0.103161,0.0903027,0.100972,0.164122,0.175495,0.160147,0.16141,0.157596,0.146891,0.152446,0.134286,0,0,0,0,0,0
