Latitude: 34.048766666666666, Longitude: -117.82076666666667, Pixels: 858, 6161
Latitude: 34.0487, Longitude: -117.82075, Pixels: 928, 6487
Latitude: 34.0487, Longitude: -117.82071666666667, Pixels: 1070, 6487
Latitude: 34.0487, Longitude: -117.82073333333334, Pixels: 999, 6487
Latitude: 34.04878333333333, Longitude: -117.82061666666667, Pixels: 1495, 6079
Latitude: 34.04886666666667, Longitude: -117.82051666666666, Pixels: 1920, 5672
Latitude: 34.04885, Longitude: -117.8205, Pixels: 1991, 5753
Latitude: 34.04893333333333, Longitude: -117.82041666666667, Pixels: 2345, 5345
Latitude: 34.04893333333333, Longitude: -117.82041666666667, Pixels: 2345, 5345
Latitude: 34.049033333333334, Longitude: -117.82035, Pixels: 2628, 4856
Latitude: 34.04911666666667, Longitude: -117.82031666666667, Pixels: 2769, 4448
Latitude: 34.04911666666667, Longitude: -117.82033333333334, Pixels: 2699, 4448
Latitude: 34.04918333333333, Longitude: -117.82033333333334, Pixels: 2699, 4122
Latitude: 34.0493, Longitude: -117.82038333333334, Pixels: 2486, 3551
Latitude: 34.04923333333333, Longitude: -117.82043333333333, Pixels: 2274, 3878
Latitude: 34.049166666666665, Longitude: -117.82043333333333, Pixels: 2274, 4204
Latitude: 34.049083333333336, Longitude: -117.82048333333333, Pixels: 2061, 4612
Latitude: 34.049, Longitude: -117.82051666666666, Pixels: 1920, 5019
Latitude: 34.04895, Longitude: -117.82051666666666, Pixels: 1920, 5264
Latitude: 34.04886666666667, Longitude: -117.82055, Pixels: 1778, 5672
Latitude: 34.04893333333333, Longitude: -117.82048333333333, Pixels: 2061, 5345
Latitude: 34.04905, Longitude: -117.82045, Pixels: 2203, 4775
Latitude: 34.04913333333333, Longitude: -117.82041666666667, Pixels: 2345, 4367
Latitude: 34.049216666666666, Longitude: -117.8204, Pixels: 2415, 3959
Latitude: 34.049283333333335, Longitude: -117.82036666666667, Pixels: 2557, 3633
Latitude: 34.0494, Longitude: -117.82033333333334, Pixels: 2699, 3062
Latitude: 34.04943333333333, Longitude: -117.82036666666667, Pixels: 2557, 2899
Latitude: 34.049366666666664, Longitude: -117.8204, Pixels: 2415, 3225
Latitude: 34.0493, Longitude: -117.82043333333333, Pixels: 2274, 3551
Latitude: 34.04923333333333, Longitude: -117.82046666666666, Pixels: 2132, 3878
Latitude: 34.04915, Longitude: -117.8205, Pixels: 1991, 4285
Latitude: 34.049083333333336, Longitude: -117.82051666666666, Pixels: 1920, 4612
Latitude: 34.04895, Longitude: -117.82056666666666, Pixels: 1707, 5264
Latitude: 34.04881666666667, Longitude: -117.82063333333333, Pixels: 1424, 5916
Latitude: 34.04873333333333, Longitude: -117.82078333333334, Pixels: 787, 6324
Latitude: 34.04875, Longitude: -117.82078333333334, Pixels: 787, 6242
Latitude: 34.04875, Longitude: -117.82078333333334, Pixels: 787, 6242
Latitude: 34.048766666666666, Longitude: -117.82076666666667, Pixels: 858, 6161
Latitude: 34.0489, Longitude: -117.82071666666667, Pixels: 1070, 5509
Latitude: 34.04891666666666, Longitude: -117.82073333333334, Pixels: 999, 5427
Latitude: 34.049033333333334, Longitude: -117.82068333333333, Pixels: 1212, 4856
Latitude: 34.049166666666665, Longitude: -117.82063333333333, Pixels: 1424, 4204
Latitude: 34.04926666666667, Longitude: -117.8206, Pixels: 1566, 3715
Latitude: 34.049416666666666, Longitude: -117.82053333333333, Pixels: 1849, 2981
Latitude: 34.049533333333336, Longitude: -117.8205, Pixels: 1991, 2410
Latitude: 34.04958333333333, Longitude: -117.82048333333333, Pixels: 2061, 2165
Latitude: 34.049733333333336, Longitude: -117.82041666666667, Pixels: 2345, 1431
Latitude: 34.04986666666667, Longitude: -117.82038333333334, Pixels: 2486, 779
Latitude: 34.0499, Longitude: -117.82043333333333, Pixels: 2274, 616
Latitude: 34.049816666666665, Longitude: -117.82045, Pixels: 2203, 1023
Latitude: 34.049683333333334, Longitude: -117.82051666666666, Pixels: 1920, 1676
Latitude: 34.049566666666664, Longitude: -117.82055, Pixels: 1778, 2247
Latitude: 34.04945, Longitude: -117.82058333333333, Pixels: 1636, 2817
Latitude: 34.04933333333334, Longitude: -117.82063333333333, Pixels: 1424, 3388
Latitude: 34.049216666666666, Longitude: -117.82068333333333, Pixels: 1212, 3959
Latitude: 34.0491, Longitude: -117.82071666666667, Pixels: 1070, 4530
Latitude: 34.049033333333334, Longitude: -117.82073333333334, Pixels: 999, 4856
Latitude: 34.048883333333336, Longitude: -117.8208, Pixels: 716, 5590
Latitude: 34.04873333333333, Longitude: -117.82078333333334, Pixels: 787, 6324
Latitude: 34.0487, Longitude: -117.82075, Pixels: 928, 6487
Latitude: 34.0487, Longitude: -117.82076666666667, Pixels: 858, 6487
Latitude: 34.04901666666667, Longitude: -117.82001666666666, Pixels: 4044, 4938
Latitude: 34.049083333333336, Longitude: -117.82005, Pixels: 3902, 4612
Latitude: 34.04905, Longitude: -117.82021666666667, Pixels: 3194, 4775
