Latitude,Longitude,No.,Red %,NIR %,NDVI,chlorphyll reading ,"Visual Rating (1 healthy, 5 diseased)",MCARI,mND705,PRI,RedEdgeRatio,WBI
34.04907091520727,-117.8200154,N=1,38,2,-2.0,44.4,2,-2.0,-2.0,-2.0,-2.0,-2.0
34.04903579503298,-117.820211,N=2,29,6,-2.0,41.4,3,-2.0,-2.0,-2.0,-2.0,-2.0
34.048998076468706,-117.8202968,N=3,11,4,-2.0,11.9,5,-2.0,-2.0,-2.0,-2.0,-2.0
34.04894074425101,-117.8203876,N=4,43,5,-1.0,63.0,1,-1.0,-1.0,-1.0,-1.0,-1.0
34.04910176061094,-117.8203835,N=5,17,2,-1.0,28.7,4,-1.0,-1.0,-1.0,-1.0,-1.0
34.049144173040986,-117.8203784,N=6,32,0,-0.45882352941176474,39.2,4,-0.45882352941176474,0.8352941176470587,0.9137254901960785,0.5294117647058822,0.5294117647058822
34.0493075363338,-117.8204041,N=7,14,5,0.5294117647058822,34.0,3,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04934567399323,-117.8204003,N=8,12,2,0.5294117647058822,29.2,3,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.049414824694395,-117.8203979,N=9,19,1,-1.0,35.9,4,-1.0,-1.0,-1.0,-1.0,-1.0
34.04954683966935,-117.8204271,N=10,31,5,-1.0,52.6,4,-1.0,-1.0,-1.0,-1.0,-1.0
34.049639124423265,-117.8204394,N=11,28,7,-0.45882352941176474,42.9,2,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.049690840765834,-117.82044,N=12,5,9,0.5294117647058822,41.5,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04978949576616,-117.8204275,N=13,16,7,-1.0,28.6,2,-1.0,-1.0,-1.0,-1.0,-1.0
34.04998429119587,-117.8204539,N=14,4,8,-1.0,33.4,2,-1.0,-1.0,-1.0,-1.0,-1.0
34.05000817961991,-117.8204786,N=15,14,3,-1.0,33.3,4,-1.0,-1.0,-1.0,-1.0,-1.0
34.050012873485684,-117.8205385,N=16,38,8,-1.0,44.7,4,-1.0,-1.0,-1.0,-1.0,-1.0
34.05001312494278,-117.8206212,N=17,37,3,-1.0,78.9,5,-1.0,-1.0,-1.0,-1.0,-1.0
34.04993358068168,-117.8206507,N=18,26,6,0.5294117647058822,33.9,4,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04991430230439,-117.820598,N=19,11,1,0.5294117647058822,21.9,3,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04989787377417,-117.8206053,N=20,15,3,0.5294117647058822,22.4,4,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04992084018886,-117.8205539,N=21,11,4,0.5294117647058822,27.4,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.049892257899046,-117.8205694,N=22,21,2,0.5294117647058822,39.8,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.049878092482686,-117.8205738,N=23,17,1,-1.0,28.9,3,-0.45882352941176474,0.8352941176470587,0.8509803921568628,-0.45882352941176474,0.39607843137254894
34.049926372244954,-117.8205032,N=24,15,0,0.5294117647058822,27.7,2,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04984205029905,-117.8205451,N=25,16,1,0.5294117647058822,28.9,4,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04978496953845,-117.8205591,N=26,34,0,0.5294117647058822,27.7,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04973132535815,-117.8205733,N=27,28,4,0.5294117647058822,28.6,3,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04967214912176,-117.8205995,N=28,26,2,0.5294117647058822,37.7,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.049776839092374,-117.8205353,N=29,12,3,0.5294117647058822,26.5,5,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.049921007826924,-117.8204636,N=30,28,0,0.5294117647058822,39.2,3,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04987599700689,-117.8204871,N=31,16,6,0.5294117647058822,12.0,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04980416409671,-117.8205105,N=32,13,1,0.5294117647058822,50.8,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04971472918987,-117.8205274,N=33,18,0,0.5294117647058822,31.7,4,-0.45882352941176474,0.8352941176470587,0.9137254901960785,0.5294117647058822,0.5294117647058822
